Age,Gender,Monthly Income (AED),Highest Education,Nationality,Purchase Frequency,Monthly Skincare Spend (AED),Brand Preference,Purchase Influencing Factors,Platforms Used,Most Trusted Platform,Influencer Count,Main Influencer Tier Followed,Influencer Content Type Considered,Purchased After Influencer Recommendation,Likelihood to Try Influencer Brand,Willingness to Pay Extra,Main Challenge,Influencer Marketing Effectiveness,Most Influential Ad Format,Purchase Time After Influencer,Online Community Member,Would Recommend Based on Influencer,Biggest Influencer Marketing Turn-off,Preferred Discovery Channel
54,Male,"5,000–9,999",High School,Expat – Western,Every 2–3 months,Less than 100,Drugstore,"Social media influencers, Price",YouTube,YouTube,1–3,Macro (100k–1M),"Instagram Reels, YouTube Videos, TikTok Videos",Yes,Likely,No increase,Not sure what works for me,Highly effective,Reel,Never,No,Yes,Repetitive ads,In-store
26,Male,"10,000–19,999",Master’s Degree,Other,Monthly,100–249,Drugstore,"Price, Product ingredients","Instagram, YouTube, TikTok, Facebook",Instagram,4–7,Micro (10k–100k),Instagram Posts,Yes,Likely,1–10% more,Products are expensive,Highly effective,Standard post,Within a week,No,Yes,Lack of authenticity,Online search
25,Female,"10,000–19,999",Other,Expat – Asian,Monthly,Less than 100,Drugstore,"Friends/Family recommendations, Social media influencers","Instagram, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories",Yes,Very unlikely,1–10% more,Too many options,Highly effective,Standard post,Within a week,No,Yes,Lack of authenticity,Advertisements
42,Female,"10,000–19,999",High School,Expat – Asian,Rarely,"1,000 or more",Drugstore,"Price, Friends/Family recommendations","Instagram, TikTok",Instagram,8 or more,Micro (10k–100k),"Instagram Posts, Instagram Reels",No,Very likely,11–25% more,Not sure what works for me,Not effective at all,Long video (YouTube/TikTok),Within a month,No,No,Repetitive ads,Social media/influencers
52,Female,"10,000–19,999",Master’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Premium,"Social media influencers, Online reviews","Instagram, YouTube, TikTok",Instagram,8 or more,Macro (100k–1M),Instagram Posts,Yes,Likely,No increase,Not sure what works for me,Somewhat effective,Story,Immediately,No,No,Repetitive ads,Friends/Family
42,Female,"Less than 5,000",High School,Other,Every 2–3 months,100–249,Korean,"Brand reputation, Online reviews","Instagram, YouTube, TikTok, Snapchat",Instagram,1–3,Celebrity (10M+),"Instagram Posts, Instagram Reels, YouTube Videos",No,Likely,No increase,Hard to find in Dubai,Not very effective,Standard post,Immediately,Yes,No,Over-promotion,Online search
38,Prefer not to say,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,100–249,Organic/Natural,"Friends/Family recommendations, Social media influencers","Instagram, TikTok",Instagram,None,Micro (10k–100k),"Instagram Stories, Instagram Reels, YouTube Videos",Yes,Very likely,1–10% more,Not enough trusted reviews,Highly effective,Long video (YouTube/TikTok),Within a month,Yes,Yes,Over-promotion,Social media/influencers
35,Male,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Weekly,500–999,Drugstore,"Friends/Family recommendations, Price",None,None,4–7,Micro (10k–100k),"Instagram Posts, Instagram Stories, YouTube Videos",No,Likely,No increase,Hard to find in Dubai,Not very effective,Long video (YouTube/TikTok),Within a week,No,No,Repetitive ads,Advertisements
33,Male,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Korean,"Online reviews, Product ingredients","Instagram, YouTube, TikTok",TikTok,1–3,Macro (100k–1M),Instagram Reels,No,Very likely,1–10% more,Too many options,Neutral,Story,Immediately,No,No,Lack of authenticity,In-store
59,Female,"Less than 5,000",Doctorate,Expat – Arab,Monthly,Less than 100,Korean,"Social media influencers, Friends/Family recommendations","Instagram, YouTube, TikTok",YouTube,4–7,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Unlikely,No increase,Not sure what works for me,Highly effective,Long video (YouTube/TikTok),Within a week,No,No,Unrelatable content,Social media/influencers
44,Female,"20,000–29,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,250–499,Korean,"Social media influencers, Online reviews","Instagram, YouTube, TikTok",Instagram,None,Mega (1M–10M),"Instagram Stories, YouTube Videos, TikTok Videos",Yes,Neutral,No increase,Not sure what works for me,Somewhat effective,Standard post,Within a month,No,Yes,Over-promotion,Advertisements
34,Female,"20,000–29,999",Bachelor’s Degree,Other,Monthly,500–999,No preference,"Social media influencers, Price",Instagram,Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Unlikely,11–25% more,Not enough trusted reviews,Somewhat effective,Story,Within a month,Yes,Yes,Repetitive ads,Advertisements
31,Female,"10,000–19,999",Master’s Degree,Emirati,Weekly,Less than 100,Drugstore,"Friends/Family recommendations, Social media influencers","Instagram, YouTube, Snapchat",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels",Yes,Likely,11–25% more,Products are expensive,Somewhat effective,Reel,Within a week,No,Yes,Lack of authenticity,Friends/Family
49,Female,"Less than 5,000",Doctorate,Expat – Asian,Monthly,Less than 100,Drugstore,"Brand reputation, Product ingredients","TikTok, Snapchat, Facebook",TikTok,None,Macro (100k–1M),"Instagram Stories, Instagram Reels",No,Neutral,1–10% more,Products are expensive,Somewhat effective,Reel,Within a month,Yes,No,Unrelatable content,Friends/Family
58,Female,"10,000–19,999",High School,Emirati,Rarely,Less than 100,Korean,"Product ingredients, Social media influencers",None,None,1–3,Mega (1M–10M),Instagram Posts,Yes,Neutral,26–50% more,Products are expensive,Somewhat effective,Standard post,Within a month,No,Yes,Over-promotion,Social media/influencers
56,Male,"10,000–19,999",Other,Expat – Arab,Monthly,250–499,Drugstore,"Product ingredients, Friends/Family recommendations","Instagram, YouTube",Instagram,None,Macro (100k–1M),"Instagram Stories, Instagram Reels, YouTube Videos",No,Unlikely,1–10% more,Not enough trusted reviews,Neutral,Story,Within a month,No,No,Repetitive ads,Online search
29,Female,"20,000–29,999",High School,Expat – Arab,Monthly,"1,000 or more",Korean,"Online reviews, Brand reputation","Instagram, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Stories, Instagram Reels",No,Very likely,1–10% more,Hard to find in Dubai,Neutral,Story,Within a month,No,No,Unrelatable content,Social media/influencers
35,Female,"10,000–19,999",Master’s Degree,Expat – Asian,Weekly,250–499,Premium,"Online reviews, Brand reputation","Instagram, YouTube",Instagram,4–7,Micro (10k–100k),"Instagram Posts, Instagram Reels, TikTok Videos",No,Likely,More than 50% more,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),Within a week,Yes,No,Repetitive ads,Advertisements
33,Female,"20,000–29,999",Bachelor’s Degree,Expat – Arab,Weekly,100–249,Premium,"Product ingredients, Online reviews",Snapchat,None,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",No,Neutral,1–10% more,Products are expensive,Not very effective,Reel,Within a month,Yes,No,Repetitive ads,Social media/influencers
37,Male,"10,000–19,999",High School,Expat – Arab,Every 2–3 months,500–999,Drugstore,"Friends/Family recommendations, Brand reputation","Instagram, YouTube, TikTok",Instagram,4–7,Micro (10k–100k),Instagram Stories,No,Very unlikely,1–10% more,Hard to find in Dubai,Not very effective,Story,Never,Yes,No,Over-promotion,Online search
53,Female,"Less than 5,000",Bachelor’s Degree,Emirati,Monthly,250–499,Premium,"Product ingredients, Social media influencers","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),"Instagram Stories, Instagram Reels",Yes,Very unlikely,1–10% more,Not enough trusted reviews,Highly effective,Standard post,Within a month,No,Yes,Lack of authenticity,Social media/influencers
66,Male,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Monthly,100–249,Korean,"Brand reputation, Social media influencers","Instagram, TikTok",YouTube,1–3,Celebrity (10M+),Instagram Posts,No,Neutral,26–50% more,Products are expensive,Highly effective,Reel,Within a week,No,No,Unrelatable content,Social media/influencers
45,Male,"10,000–19,999",Bachelor’s Degree,Other,Monthly,100–249,Korean,"Product ingredients, Brand reputation","Instagram, YouTube, TikTok, Snapchat",Instagram,8 or more,Macro (100k–1M),"Instagram Posts, Instagram Stories",No,Very likely,No increase,Not sure what works for me,Somewhat effective,Reel,Within a week,No,No,Repetitive ads,Online search
31,Male,"10,000–19,999",High School,Other,Every 2–3 months,Less than 100,Drugstore,"Price, Product ingredients","Instagram, TikTok, Facebook",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels",Yes,Very likely,No increase,Too many options,Somewhat effective,Long video (YouTube/TikTok),Never,No,No,Lack of authenticity,Social media/influencers
39,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Monthly,Less than 100,Drugstore,"Price, Online reviews","Instagram, Facebook",YouTube,8 or more,Micro (10k–100k),Instagram Posts,No,Very unlikely,No increase,Not enough trusted reviews,Somewhat effective,Story,After a long time,No,No,Over-promotion,Social media/influencers
71,Female,"5,000–9,999",Master’s Degree,Expat – Asian,Monthly,Less than 100,Drugstore,"Social media influencers, Brand reputation","Instagram, YouTube, TikTok",YouTube,1–3,Micro (10k–100k),TikTok Videos,No,Likely,No increase,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),Within a week,Yes,No,Lack of authenticity,Social media/influencers
40,Male,"20,000–29,999",Bachelor’s Degree,Expat – Western,Monthly,250–499,Drugstore,"Product ingredients, Online reviews","Instagram, Snapchat",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels, TikTok Videos",No,Very likely,No increase,Not sure what works for me,Neutral,Story,Within a week,Yes,No,Lack of authenticity,Online search
35,Female,"10,000–19,999",Bachelor’s Degree,Emirati,Monthly,100–249,Organic/Natural,"Social media influencers, Product ingredients","Instagram, Snapchat, Facebook",YouTube,4–7,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",Yes,Very unlikely,11–25% more,Products are expensive,Neutral,Story,Never,Yes,Yes,Unrelatable content,In-store
36,Female,"20,000–29,999",Bachelor’s Degree,Expat – Western,Monthly,"1,000 or more",Drugstore,"Friends/Family recommendations, Social media influencers","Instagram, Snapchat",TikTok,8 or more,Micro (10k–100k),"Instagram Stories, Instagram Reels, YouTube Videos",Yes,Very likely,1–10% more,Too many options,Highly effective,Story,Within a week,No,Yes,Unrelatable content,Social media/influencers
45,Male,"10,000–19,999",High School,Other,Every 2–3 months,100–249,Organic/Natural,"Brand reputation, Friends/Family recommendations","Instagram, YouTube, TikTok",TikTok,None,Macro (100k–1M),"Instagram Posts, Instagram Reels, YouTube Videos",No,Neutral,No increase,Too many options,Not very effective,Reel,Within a month,No,No,Unrelatable content,Social media/influencers
29,Male,"10,000–19,999",Master’s Degree,Emirati,Every 2–3 months,250–499,Organic/Natural,"Product ingredients, Online reviews",None,None,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",Yes,Neutral,11–25% more,Not enough trusted reviews,Neutral,Long video (YouTube/TikTok),Within a month,No,Yes,Repetitive ads,Online search
33,Female,"10,000–19,999",Master’s Degree,Expat – Arab,Every 2–3 months,100–249,Drugstore,"Friends/Family recommendations, Product ingredients","Instagram, YouTube, TikTok",YouTube,4–7,Micro (10k–100k),"Instagram Reels, YouTube Videos",No,Very likely,1–10% more,Not sure what works for me,Somewhat effective,Reel,Within a month,Yes,No,Lack of authenticity,Online search
56,Female,"20,000–29,999",Bachelor’s Degree,Other,Monthly,250–499,Korean,"Online reviews, Social media influencers","Instagram, TikTok, Snapchat",YouTube,4–7,Micro (10k–100k),Instagram Reels,No,Likely,1–10% more,Not sure what works for me,Neutral,Reel,Immediately,No,No,Lack of authenticity,Online search
44,Male,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Weekly,100–249,No preference,"Brand reputation, Product ingredients","Instagram, YouTube",Instagram,None,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",Yes,Very likely,No increase,Not sure what works for me,Highly effective,Standard post,Within a week,Yes,Yes,Repetitive ads,Social media/influencers
41,Male,"10,000–19,999",Master’s Degree,Emirati,Monthly,100–249,Organic/Natural,"Product ingredients, Price",Instagram,YouTube,8 or more,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",No,Neutral,11–25% more,Too many options,Somewhat effective,Standard post,Never,Yes,No,Over-promotion,Advertisements
57,Male,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Rarely,100–249,Korean,"Social media influencers, Brand reputation","Instagram, YouTube",YouTube,4–7,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",No,Likely,No increase,Too many options,Highly effective,Reel,Within a month,No,No,Lack of authenticity,Friends/Family
30,Female,"10,000–19,999",Master’s Degree,Expat – Asian,Every 2–3 months,250–499,Organic/Natural,"Friends/Family recommendations, Online reviews","Instagram, YouTube",Instagram,8 or more,Mega (1M–10M),"Instagram Posts, Instagram Reels",Yes,Very likely,No increase,Hard to find in Dubai,Highly effective,Reel,After a long time,No,Yes,Repetitive ads,Friends/Family
35,Female,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,500–999,Organic/Natural,"Social media influencers, Price",Instagram,Instagram,8 or more,Macro (100k–1M),Instagram Posts,Yes,Very unlikely,No increase,Not sure what works for me,Somewhat effective,Reel,Within a month,No,Yes,Repetitive ads,Social media/influencers
44,Female,"5,000–9,999",Master’s Degree,Expat – Asian,Weekly,Less than 100,Premium,"Online reviews, Price","Instagram, YouTube, TikTok",YouTube,4–7,Macro (100k–1M),"Instagram Posts, Instagram Stories",No,Likely,1–10% more,Not sure what works for me,Highly effective,Story,Never,No,No,Unrelatable content,Social media/influencers
43,Male,"5,000–9,999",Bachelor’s Degree,Other,Monthly,Less than 100,No preference,"Product ingredients, Brand reputation","Instagram, YouTube, TikTok, Facebook",TikTok,4–7,Mega (1M–10M),"Instagram Stories, Instagram Reels",No,Likely,1–10% more,Hard to find in Dubai,Neutral,Standard post,Never,Yes,No,Repetitive ads,Online search
24,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Weekly,100–249,Korean,"Brand reputation, Price","Instagram, YouTube",Instagram,1–3,Micro (10k–100k),Instagram Reels,No,Very likely,No increase,Products are expensive,Neutral,Story,Within a month,Yes,No,Lack of authenticity,Social media/influencers
34,Male,"5,000–9,999",Doctorate,Expat – Asian,Every 2–3 months,100–249,Korean,"Friends/Family recommendations, Price","Instagram, Snapchat",Instagram,8 or more,Mega (1M–10M),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",Yes,Very likely,No increase,Too many options,Highly effective,Long video (YouTube/TikTok),Within a week,No,Yes,Lack of authenticity,Social media/influencers
37,Female,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Rarely,Less than 100,No preference,"Friends/Family recommendations, Social media influencers","Instagram, YouTube",Instagram,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels",Yes,Very unlikely,1–10% more,Not enough trusted reviews,Highly effective,Reel,Within a month,Yes,Yes,Repetitive ads,Social media/influencers
46,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Rarely,250–499,Organic/Natural,"Price, Online reviews","Instagram, YouTube, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Stories, YouTube Videos, TikTok Videos",No,Likely,1–10% more,Products are expensive,Neutral,Story,Within a month,No,No,Unrelatable content,Social media/influencers
43,Female,"20,000–29,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,"1,000 or more",Premium,"Product ingredients, Brand reputation","Instagram, YouTube",Instagram,8 or more,Macro (100k–1M),Instagram Reels,No,Likely,No increase,Products are expensive,Highly effective,Story,Within a month,No,No,Lack of authenticity,In-store
38,Female,"10,000–19,999",Bachelor’s Degree,Other,Monthly,500–999,Drugstore,"Product ingredients, Online reviews","Instagram, Snapchat",Instagram,8 or more,Micro (10k–100k),Instagram Reels,Yes,Unlikely,11–25% more,Products are expensive,Somewhat effective,Standard post,After a long time,Yes,Yes,Over-promotion,Online search
21,Female,"5,000–9,999",Bachelor’s Degree,Expat – Western,Rarely,Less than 100,Korean,"Brand reputation, Price","Instagram, TikTok",Instagram,1–3,Not sure,"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",No,Neutral,More than 50% more,Not sure what works for me,Somewhat effective,Reel,Within a week,No,Yes,Unrelatable content,Friends/Family
39,Male,"Less than 5,000",High School,Expat – Asian,Every 2–3 months,250–499,Korean,"Friends/Family recommendations, Product ingredients","Instagram, YouTube",YouTube,None,Micro (10k–100k),None,No,Likely,No increase,Too many options,Neutral,Long video (YouTube/TikTok),Within a week,No,No,Lack of authenticity,Online search
40,Female,"10,000–19,999",High School,Expat – Asian,Weekly,"1,000 or more",Korean,"Product ingredients, Friends/Family recommendations","TikTok, Snapchat",TikTok,4–7,Micro (10k–100k),"Instagram Stories, Instagram Reels",No,Unlikely,1–10% more,Not sure what works for me,Not very effective,Long video (YouTube/TikTok),Within a month,No,No,Unrelatable content,Online search
99,Male,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Monthly,100–249,No preference,"Product ingredients, Social media influencers","Instagram, YouTube, Snapchat",Instagram,8 or more,Micro (10k–100k),Instagram Reels,Yes,Neutral,No increase,Not enough trusted reviews,Neutral,Reel,Within a week,No,Yes,Lack of authenticity,Advertisements
36,Female,"20,000–29,999",Master’s Degree,Expat – Asian,Monthly,250–499,Organic/Natural,"Friends/Family recommendations, Online reviews","Instagram, TikTok",Instagram,1–3,Micro (10k–100k),Instagram Posts,No,Very likely,1–10% more,Not enough trusted reviews,Somewhat effective,Standard post,Within a month,No,No,Lack of authenticity,Social media/influencers
44,Male,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Monthly,250–499,Korean,"Social media influencers, Product ingredients","Instagram, TikTok",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Neutral,1–10% more,Too many options,Neutral,Reel,Never,No,No,Unrelatable content,In-store
61,Male,"20,000–29,999",Bachelor’s Degree,Expat – Asian,Monthly,250–499,Drugstore,"Friends/Family recommendations, Online reviews","Instagram, Snapchat",Instagram,4–7,Micro (10k–100k),"Instagram Posts, TikTok Videos",No,Very unlikely,No increase,Too many options,Somewhat effective,Reel,Within a month,Yes,No,Lack of authenticity,In-store
52,Female,"5,000–9,999",Bachelor’s Degree,Other,Every 2–3 months,Less than 100,Korean,"Brand reputation, Friends/Family recommendations",Instagram,YouTube,None,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",No,Likely,11–25% more,Hard to find in Dubai,Somewhat effective,Standard post,Never,No,Yes,Lack of authenticity,Online search
67,Male,"10,000–19,999",High School,Expat – Asian,Monthly,100–249,Korean,"Online reviews, Brand reputation","Instagram, YouTube",Instagram,8 or more,Mega (1M–10M),"Instagram Stories, Instagram Reels",Yes,Neutral,11–25% more,Too many options,Somewhat effective,Long video (YouTube/TikTok),Within a month,Yes,Yes,Repetitive ads,Social media/influencers
24,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Monthly,100–249,Korean,"Online reviews, Brand reputation",Instagram,Instagram,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels",Yes,Very unlikely,No increase,Not sure what works for me,Neutral,Long video (YouTube/TikTok),Within a month,No,Yes,Unrelatable content,Social media/influencers
28,Female,"30,000 or more",High School,Expat – Asian,Monthly,100–249,Korean,"Price, Product ingredients","Instagram, TikTok",Instagram,1–3,Micro (10k–100k),"Instagram Posts, YouTube Videos",Yes,Neutral,No increase,Products are expensive,Highly effective,Reel,Within a month,Yes,Yes,Over-promotion,Online search
32,Male,"10,000–19,999",High School,Expat – Arab,Every 2–3 months,500–999,Korean,"Online reviews, Price","Instagram, YouTube, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels, YouTube Videos",Yes,Very likely,No increase,Not sure what works for me,Highly effective,Reel,Within a week,No,Yes,Lack of authenticity,Friends/Family
23,Male,"5,000–9,999",High School,Expat – Arab,Every 2–3 months,100–249,Premium,"Friends/Family recommendations, Online reviews",TikTok,TikTok,1–3,Not sure,Instagram Reels,No,Likely,1–10% more,Too many options,Neutral,Reel,Within a month,No,No,Over-promotion,In-store
